"sample"	"PC1: 72% variance"	"PC2: 6% variance"
"AL_ADF_A_11"	-94.5818798740188	20.8429699899441
"LI_ADF_A_14"	-92.7581262676585	38.3309816197548
"LI_ADF_A_10"	-91.3476842969385	29.5478818223116
"AL_ADF_A_3"	-89.9341673683619	27.3818681549029
"AL_ADF_A_9"	-87.1210190480204	-19.9662971950669
"LI_ADF_A_16"	-86.3838689152899	-4.56697797195
"AL_ADF_A_19"	-83.4866531348285	14.187962301863
"LI_ADF_A_12"	-75.5853085216121	-20.6353637901546
"LI_ADF_A_8"	-74.5617036448866	-37.3732778021813
"AL_ADF_A_7"	-54.4789597749943	-67.6518886930469
"LI_ADF_H_16"	85.8899200814089	1.05968919713031
"AL_ADF_H_3"	88.9443079788993	6.34129575525071
"AL_ADF_H_11"	90.0437111322274	11.3932376833525
"LI_ADF_H_12"	90.6896530048056	5.76635925710208
"LI_ADF_H_10"	91.4709387591859	8.55249324824855
"LI_ADF_H_8"	94.7419406430681	-3.74022658154417
"LI_ADF_H_14"	95.1283001335682	10.9096711802095
"AL_ADF_H_7"	95.4072199407304	-13.1958446451056
"AL_ADF_H_9"	97.9233791727154	-7.18453353102057
