sample	AL_ADF_A_11	AL_ADF_A_19	AL_ADF_A_3	AL_ADF_A_7	AL_ADF_A_9	AL_ADF_H_11	AL_ADF_H_3	AL_ADF_H_7	AL_ADF_H_9	LI_ADF_A_10	LI_ADF_A_12	LI_ADF_A_14	LI_ADF_A_16	LI_ADF_A_8	LI_ADF_H_10	LI_ADF_H_12	LI_ADF_H_14	LI_ADF_H_16	LI_ADF_H_8
AL_ADF_A_11	0	83.9586495403789	85.1542540418905	119.576750661331	93.2667017098259	194.743701174641	196.087832512463	203.444904938846	204.518981470034	70.6699962918621	84.7876263175696	70.2595142414236	70.2335129383871	92.562550731093	197.128823636616	195.787597193871	201.866224948424	195.347217987953	201.074366162796
AL_ADF_A_19	83.9586495403789	0	75.0894600044847	107.002540983782	95.293860234611	185.445696764185	186.305403470045	193.444539437905	194.810846950772	74.2074069535417	87.0425092429267	76.1472226466837	79.6575427185119	93.4965635647727	186.118962014508	186.466141588546	193.878552372895	183.140160148276	191.871003832927
AL_ADF_A_3	85.1542540418905	75.0894600044847	0	121.11291466719	93.7778264979786	194.055318391066	191.264763310134	201.696819847007	202.921150984992	82.1179289054624	102.448205511065	73.5567323441333	94.9218490978549	96.1873420125516	195.901007071443	195.590022923707	200.427210604711	193.632356674801	198.976426691923
AL_ADF_A_7	119.576750661331	107.002540983782	121.11291466719	0	110.61486813181	175.662435286848	172.516136370319	173.246823139102	176.934924151447	117.186849237739	97.3426147000206	123.262226415112	107.760620269883	88.9065925815608	175.533861873877	173.984337598661	182.488527802964	170.238093891262	174.937878280448
AL_ADF_A_9	93.2667017098259	95.293860234611	93.7778264979786	110.61486813181	0	195.906316364057	196.347415628269	197.825153118408	199.25811279973	101.849005719701	104.199142555107	100.36877886703	92.5535905343387	87.1977323306219	196.746388545498	197.942045766775	199.875123230045	195.045606859113	199.799526104005
AL_ADF_H_11	194.743701174641	185.445696764185	194.055318391066	175.662435286848	195.906316364057	0	64.0777236770126	72.1234711133618	70.839742376436	193.507002422671	181.897087636009	195.286279916701	188.590366072459	182.981721880316	59.2483510136146	58.289960525106	64.5968499936426	68.3400835929546	68.997327319706
AL_ADF_H_3	196.087832512463	186.305403470045	191.264763310134	172.516136370319	196.347415628269	64.0777236770126	0	75.4612558703472	71.1006335927395	193.750919833245	183.031730865932	194.867255508617	189.420505816965	181.007993241181	65.9582328694614	65.7908014315477	73.7163301536576	67.4358532370231	63.4708188043446
AL_ADF_H_7	203.444904938846	193.444539437905	201.696819847007	173.246823139102	197.825153118408	72.1234711133618	75.4612558703472	0	56.0556399023538	201.501144568991	189.483892499888	203.605970391749	195.260204996921	185.644229267707	70.4526483261335	69.8354762398033	77.2150585359641	76.6558387746459	63.360984699665
AL_ADF_H_9	204.518981470034	194.810846950772	202.921150984992	176.934924151447	199.25811279973	70.839742376436	71.1006335927395	56.0556399023538	0	202.532264147168	191.625177776638	204.227900899172	197.640218152403	187.768346205879	65.990467688347	69.3936142225097	72.8971216002276	76.043404782017	62.1959327560856
LI_ADF_A_10	70.6699962918621	74.2074069535417	82.1179289054624	117.186849237739	101.849005719701	193.507002422671	193.750919833245	201.501144568991	202.532264147168	0	91.5945936265995	65.1117465281143	81.4004290797298	99.0044012254068	192.129689512156	193.783639587631	201.655522596975	192.17634725504	198.741152039588
