"","GO.ID","Term","Annotated","Significant","Expected","weight01Fisher","genes"
"1","GO:0009253","peptidoglycan catabolic process",7,4,0.1,1.2e-06,"Vcard_DToL07962-RA,Vcard_DToL07964-RA,Vcard_DToL12394-RA,Vcard_DToL12395-RA"
"2","GO:0050830","defense response to Gram-positive bacterium",79,8,1.09,1.2e-05,"Vcard_DToL06636-RA,Vcard_DToL07064-RA,Vcard_DToL07289-RA,Vcard_DToL07962-RA,Vcard_DToL07964-RA,Vcard_DToL12394-RA,Vcard_DToL12395-RA,Vcard_DToL15621-RA"
"3","GO:0061060","negative regulation of peptidoglycan recognition protein signaling pathway",6,3,0.08,4.9e-05,"Vcard_DToL05597-RA,Vcard_DToL07962-RA,Vcard_DToL07964-RA"
"4","GO:0031100","animal organ regeneration",76,7,1.05,7.7e-05,"Vcard_DToL01847-RA,Vcard_DToL01848-RA,Vcard_DToL06760-RA,Vcard_DToL06761-RA,Vcard_DToL09468-RA,Vcard_DToL09829-RA,Vcard_DToL11015-RA"
"5","GO:0009113","purine nucleobase biosynthetic process",12,5,0.17,8.1e-05,"Vcard_DToL01847-RA,Vcard_DToL01848-RA,Vcard_DToL08184-RA,Vcard_DToL09829-RA,Vcard_DToL14612-RA"
"6","GO:0042573","retinoic acid metabolic process",18,4,0.25,9e-05,"Vcard_DToL06351-RA,Vcard_DToL06760-RA,Vcard_DToL06761-RA,Vcard_DToL09468-RA"
"7","GO:0008209","androgen metabolic process",20,4,0.28,0.00014,"Vcard_DToL06760-RA,Vcard_DToL06761-RA,Vcard_DToL07822-RA,Vcard_DToL09468-RA"
"8","GO:0046148","pigment biosynthetic process",111,9,1.53,0.00016,"Vcard_DToL01847-RA,Vcard_DToL01848-RA,Vcard_DToL04177-RA,Vcard_DToL05898-RA,Vcard_DToL06351-RA,Vcard_DToL08184-RA,Vcard_DToL08246-RA,Vcard_DToL09829-RA,Vcard_DToL14612-RA"
"9","GO:0017001","antibiotic catabolic process",24,4,0.33,0.00029,"Vcard_DToL06760-RA,Vcard_DToL06761-RA,Vcard_DToL09468-RA,Vcard_DToL16543-RA"
"10","GO:0005996","monosaccharide metabolic process",195,10,2.68,0.00045,"Vcard_DToL01264-RA,Vcard_DToL03156-RA,Vcard_DToL03266-RA,Vcard_DToL03412-RA,Vcard_DToL04985-RA,Vcard_DToL06760-RA,Vcard_DToL06761-RA,Vcard_DToL07719-RA,Vcard_DToL09468-RA,Vcard_DToL16543-RA"
"11","GO:0051552","flavone metabolic process",12,3,0.17,0.00051,"Vcard_DToL06760-RA,Vcard_DToL06761-RA,Vcard_DToL09468-RA"
"12","GO:2001030","negative regulation of cellular glucuronidation",12,3,0.17,0.00051,"Vcard_DToL06760-RA,Vcard_DToL06761-RA,Vcard_DToL09468-RA"
"13","GO:0006789","bilirubin conjugation",12,3,0.17,0.00051,"Vcard_DToL06760-RA,Vcard_DToL06761-RA,Vcard_DToL09468-RA"
"14","GO:0006711","estrogen catabolic process",12,3,0.17,0.00051,"Vcard_DToL06760-RA,Vcard_DToL06761-RA,Vcard_DToL09468-RA"
"15","GO:1904224","negative regulation of glucuronosyltransferase activity",12,3,0.17,0.00051,"Vcard_DToL06760-RA,Vcard_DToL06761-RA,Vcard_DToL09468-RA"
"16","GO:0070980","biphenyl catabolic process",12,3,0.17,0.00051,"Vcard_DToL06760-RA,Vcard_DToL06761-RA,Vcard_DToL09468-RA"
"17","GO:0052696","flavonoid glucuronidation",12,3,0.17,0.00051,"Vcard_DToL06760-RA,Vcard_DToL06761-RA,Vcard_DToL09468-RA"
"18","GO:0052697","xenobiotic glucuronidation",12,3,0.17,0.00051,"Vcard_DToL06760-RA,Vcard_DToL06761-RA,Vcard_DToL09468-RA"
"19","GO:0046226","coumarin catabolic process",12,3,0.17,0.00051,"Vcard_DToL06760-RA,Vcard_DToL06761-RA,Vcard_DToL09468-RA"
"20","GO:0071467","cellular response to pH",10,3,0.14,0.00055,"Vcard_DToL07289-RA,Vcard_DToL07667-RA,Vcard_DToL16543-RA"
"21","GO:0006543","glutamine catabolic process",3,2,0.04,0.00056,"Vcard_DToL01847-RA,Vcard_DToL01848-RA"
"22","GO:0042381","hemolymph coagulation",13,3,0.18,0.00066,"Vcard_DToL05345-RA,Vcard_DToL09009-RA,Vcard_DToL10891-RA"
"23","GO:0071361","cellular response to ethanol",31,4,0.43,8e-04,"Vcard_DToL06760-RA,Vcard_DToL06761-RA,Vcard_DToL09468-RA,Vcard_DToL16543-RA"
"24","GO:0042167","heme catabolic process",14,3,0.19,0.00083,"Vcard_DToL06760-RA,Vcard_DToL06761-RA,Vcard_DToL09468-RA"
"25","GO:0006697","ecdysone biosynthetic process",14,3,0.19,0.00083,"Vcard_DToL04287-RA,Vcard_DToL09758-RA,Vcard_DToL18627-RA"
"26","GO:0016063","rhodopsin biosynthetic process",18,3,0.25,0.00178,"Vcard_DToL05898-RA,Vcard_DToL06351-RA,Vcard_DToL08246-RA"
"27","GO:0043615","astrocyte cell migration",5,2,0.07,0.00183,"Vcard_DToL08356-RA,Vcard_DToL13772-RA"
"28","GO:0071394","cellular response to testosterone stimulus",19,3,0.26,0.00209,"Vcard_DToL06760-RA,Vcard_DToL06761-RA,Vcard_DToL09468-RA"
"29","GO:0006953","acute-phase response",20,3,0.28,0.00244,"Vcard_DToL06760-RA,Vcard_DToL06761-RA,Vcard_DToL09468-RA"
"30","GO:0032869","cellular response to insulin stimulus",197,6,2.71,0.00259,"Vcard_DToL01503-RA,Vcard_DToL01847-RA,Vcard_DToL01848-RA,Vcard_DToL03266-RA,Vcard_DToL09998-RA,Vcard_DToL16543-RA"
"31","GO:0001678","cellular glucose homeostasis",95,3,1.31,0.00272,"Vcard_DToL01264-RA,Vcard_DToL03266-RA,Vcard_DToL16543-RA"
"32","GO:0045922","negative regulation of fatty acid metabolic process",21,3,0.29,0.00281,"Vcard_DToL06760-RA,Vcard_DToL06761-RA,Vcard_DToL09468-RA"
"33","GO:0030301","cholesterol transport",77,5,1.06,0.00322,"Vcard_DToL06365-RA,Vcard_DToL06369-RA,Vcard_DToL06788-RA,Vcard_DToL06829-RA,Vcard_DToL12005-RA"
"34","GO:0071378","cellular response to growth hormone stimulus",22,3,0.3,0.00323,"Vcard_DToL06760-RA,Vcard_DToL06761-RA,Vcard_DToL09468-RA"
"35","GO:0006189","'de novo' IMP biosynthetic process",7,2,0.1,0.00377,"Vcard_DToL01847-RA,Vcard_DToL01848-RA"
"36","GO:0045939","negative regulation of steroid metabolic process",26,3,0.36,0.00523,"Vcard_DToL06760-RA,Vcard_DToL06761-RA,Vcard_DToL09468-RA"
"37","GO:0007608","sensory perception of smell",83,5,1.14,0.00558,"Vcard_DToL06760-RA,Vcard_DToL06761-RA,Vcard_DToL07289-RA,Vcard_DToL09468-RA,Vcard_DToL09758-RA"
"38","GO:0051451","myoblast migration",9,2,0.12,0.00634,"Vcard_DToL13294-RA,Vcard_DToL17175-RA"
"39","GO:0006836","neurotransmitter transport",272,6,3.74,0.00742,"Vcard_DToL04177-RA,Vcard_DToL04426-RA,Vcard_DToL05969-RA,Vcard_DToL06955-RA,Vcard_DToL07289-RA,Vcard_DToL12405-RA"
"40","GO:0071385","cellular response to glucocorticoid stimulus",60,4,0.83,0.00774,"Vcard_DToL06760-RA,Vcard_DToL06761-RA,Vcard_DToL09468-RA,Vcard_DToL16543-RA"
"41","GO:0071392","cellular response to estradiol stimulus",30,3,0.41,0.00785,"Vcard_DToL06760-RA,Vcard_DToL06761-RA,Vcard_DToL09468-RA"
"42","GO:0043052","thermotaxis",30,3,0.41,0.00785,"Vcard_DToL02239-RA,Vcard_DToL07289-RA,Vcard_DToL16964-RA"
"43","GO:0055085","transmembrane transport",948,18,13.04,0.00883,"Vcard_DToL02383-RA,Vcard_DToL03266-RA,Vcard_DToL03412-RA,Vcard_DToL04177-RA,Vcard_DToL04426-RA,Vcard_DToL05969-RA,Vcard_DToL06023-RA,Vcard_DToL06365-RA,Vcard_DToL06369-RA,Vcard_DToL06788-RA,Vcard_DToL06829-RA,Vcard_DToL06955-RA,Vcard_DToL07667-RA,Vcard_DToL10069-RA,Vcard_DToL12405-RA,Vcard_DToL12971-RA,Vcard_DToL16145-RA,Vcard_DToL16964-RA"
