"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"ko00980" "ko00980" "ko00980" "13/236" "107/14558" 1.80621969877074e-08 3.26925765477504e-06 2.92797719590204e-06 "Vcard_DToL16954/Vcard_DToL03156/Vcard_DToL05428/Vcard_DToL11057/Vcard_DToL15097/Vcard_DToL05461/Vcard_DToL06760/Vcard_DToL06761/Vcard_DToL09468/Vcard_DToL15662/Vcard_DToL09834/Vcard_DToL17056/Vcard_DToL17057" 13
"ko05204" "ko05204" "ko05204" "12/236" "108/14558" 1.75994764329202e-07 1.59275261717928e-05 1.42648387929985e-05 "Vcard_DToL16954/Vcard_DToL05428/Vcard_DToL11057/Vcard_DToL15097/Vcard_DToL05461/Vcard_DToL06760/Vcard_DToL06761/Vcard_DToL09468/Vcard_DToL15662/Vcard_DToL09834/Vcard_DToL17056/Vcard_DToL17057" 12
"ko00040" "ko00040" "ko00040" "10/236" "93/14558" 2.57955031337314e-06 0.000155632868906846 0.000139386227459461 "Vcard_DToL04448/Vcard_DToL03156/Vcard_DToL04985/Vcard_DToL11057/Vcard_DToL15097/Vcard_DToL17429/Vcard_DToL06760/Vcard_DToL06761/Vcard_DToL09468/Vcard_DToL15662" 10
"ko00790" "ko00790" "ko00790" "7/236" "61/14558" 5.57632021786394e-05 0.00252328489858343 0.00225987714092381 "Vcard_DToL04448/Vcard_DToL16954/Vcard_DToL17429/Vcard_DToL05461/Vcard_DToL09834/Vcard_DToL17056/Vcard_DToL17057" 7
"ko00590" "ko00590" "ko00590" "6/236" "47/14558" 0.000104876329755479 0.00379652313714836 0.00340020100680923 "Vcard_DToL16954/Vcard_DToL00434/Vcard_DToL05461/Vcard_DToL09834/Vcard_DToL17056/Vcard_DToL17057" 6
"ko00140" "ko00140" "ko00140" "7/236" "72/14558" 0.000161915545945859 0.00488445230270009 0.00437456036415129 "Vcard_DToL07822/Vcard_DToL11057/Vcard_DToL15097/Vcard_DToL06760/Vcard_DToL06761/Vcard_DToL09468/Vcard_DToL15662" 7
"ko00053" "ko00053" "ko00053" "7/236" "77/14558" 0.000246826957213311 0.00582199293556096 0.00521423036973765 "Vcard_DToL06735/Vcard_DToL11057/Vcard_DToL15097/Vcard_DToL06760/Vcard_DToL06761/Vcard_DToL09468/Vcard_DToL15662" 7
"ko01130" "ko01130" "ko01130" "13/236" "254/14558" 0.000263081304962448 0.00582199293556096 0.00521423036973765 "Vcard_DToL03266/Vcard_DToL04448/Vcard_DToL06735/Vcard_DToL16543/Vcard_DToL01264/Vcard_DToL07719/Vcard_DToL07968/Vcard_DToL13460/Vcard_DToL17429/Vcard_DToL03596/Vcard_DToL01847/Vcard_DToL01848/Vcard_DToL09829" 13
"ko00830" "ko00830" "ko00830" "7/236" "79/14558" 0.000289491361436733 0.00582199293556096 0.00521423036973765 "Vcard_DToL06351/Vcard_DToL11057/Vcard_DToL15097/Vcard_DToL06760/Vcard_DToL06761/Vcard_DToL09468/Vcard_DToL15662" 7
"ko01120" "ko01120" "ko01120" "11/236" "217/14558" 0.000840258746072351 0.0152086833039096 0.0136210365152781 "Vcard_DToL03266/Vcard_DToL04448/Vcard_DToL06735/Vcard_DToL11994/Vcard_DToL16543/Vcard_DToL01264/Vcard_DToL17429/Vcard_DToL03596/Vcard_DToL07089/Vcard_DToL09829/Vcard_DToL12491" 11
"ko00010" "ko00010" "ko00010" "6/236" "70/14558" 0.000939613611859144 0.0154609148860459 0.0138469374379242 "Vcard_DToL03266/Vcard_DToL04448/Vcard_DToL06735/Vcard_DToL16543/Vcard_DToL01264/Vcard_DToL17429" 6
"ko00982" "ko00982" "ko00982" "7/236" "98/14558" 0.0010658752133777 0.0160769511351137 0.0143986651631725 "Vcard_DToL05428/Vcard_DToL11057/Vcard_DToL15097/Vcard_DToL06760/Vcard_DToL06761/Vcard_DToL09468/Vcard_DToL15662" 7
"ko00860" "ko00860" "ko00860" "6/236" "78/14558" 0.00165350632468936 0.0218059415564731 0.0195296016266174 "Vcard_DToL11057/Vcard_DToL15097/Vcard_DToL06760/Vcard_DToL06761/Vcard_DToL09468/Vcard_DToL15662" 6
"ko00983" "ko00983" "ko00983" "9/236" "168/14558" 0.00168664741320787 0.0218059415564731 0.0195296016266174 "Vcard_DToL05428/Vcard_DToL11057/Vcard_DToL12005/Vcard_DToL15097/Vcard_DToL06760/Vcard_DToL06761/Vcard_DToL09468/Vcard_DToL15662/Vcard_DToL15486" 9
"ko00030" "ko00030" "ko00030" "4/236" "35/14558" 0.0023758961630688 0.0286691470343635 0.0256763515166733 "Vcard_DToL01264/Vcard_DToL07719/Vcard_DToL07968/Vcard_DToL09829" 4
"ko00250" "ko00250" "ko00250" "4/236" "39/14558" 0.00354848673364433 0.0401422561743514 0.035951773485607 "Vcard_DToL11994/Vcard_DToL01847/Vcard_DToL01848/Vcard_DToL12491" 4
"ko00051" "ko00051" "ko00051" "4/236" "41/14558" 0.00426027840990402 0.0453594348348605 0.0406243266331405 "Vcard_DToL03266/Vcard_DToL04448/Vcard_DToL01264/Vcard_DToL17429" 4
