"sample"	"PC1: 18% variance"	"PC2: 15% variance"
"HDLI_V_A_18"	-185.588406789081	-40.5193013684348
"HDLI_V_A_1"	-184.851039066567	-40.639814146705
"HDAL_V_A_4"	-190.281662942216	-42.4163523935257
"HDAL_III_A_1"	-166.537979607951	-41.2471971875594
"LDAL_V_A_1"	-158.895565110585	-37.7092560084336
"LDAL_ADMB_A_3"	-158.307051401042	-30.354469529219
"HDAL_V_A_18"	-157.57517228579	-35.7265491383735
"HDAL_V_A_1"	-153.824464362907	-32.5981213343166
"LDAL_ADM_A_1"	-153.792548546751	-29.3057706823216
"HDAL_V_A_3"	-143.004130963099	-30.7184262167741
"HDAL_ADM_A_1"	-142.230369562674	-27.6910099406179
"LDAL_ADM_A_18"	-131.200588225412	-28.0048608826099
"LDAL_V_A_4"	-126.167472740898	-24.7282919969229
"LDAL_V_A_3"	-124.51996931241	-23.9861912140883
"HDAL_ADM_A_18"	-124.308101472159	-21.3370341227424
"LDAL_V_A_18"	-115.924335885616	-16.4372056732909
"HDLI_V_A_4"	-114.101029009242	-20.3548463858068
"HDLI_V_A_3"	-112.987527014109	-20.5076404697268
"HDLI_III_A_18"	-105.483330156715	-23.721769094574
"LDAL_III_A_1"	-103.446708885933	-29.3695692546992
"HDAL_III_A_3"	-97.3085020105625	-28.4178945113585
"LDAL_III_A_18"	-93.5266649114848	-18.723963323552
"LDAL_III_A_3"	-89.6695246217863	-33.1899150060633
"HDLI_III_A_4"	-77.1817044322646	-13.6631306652143
"HDLI_ADM_A_4"	-61.7678581254131	-6.38422762619293
"LDAL_III_A_4"	-60.8651356573319	-27.7306302267793
"HDLI_III_A_1"	-56.4131097873006	-14.2560435283565
"LDAL_PF_A_4"	-51.5851605881183	3.36322691350585
"HDLI_PM_A_18"	-49.17159077676	6.28637564845376
"HDAL_III_A_4"	-48.1603990902967	-7.23543290683512
"HDAL_PF_A_18"	-46.7706125736791	8.70686034563543
"HDLI_PF_A_18"	-37.5880993417119	7.03695406784607
"LDAL_PF_A_18"	-37.3486764014893	3.19019232043736
"HDAL_PM_A_18"	-37.1937328348666	14.7000296684703
"HDAL_PF_A_4"	-36.1136007133572	15.9970413420718
"HDAL_PM_A_3"	-35.3710605860863	7.01293818256286
"HDAL_ADF_A_18"	-34.1285928625733	3.03974495429099
"HDAL_ADF_A_1"	-31.2847394372958	3.97114597161888
"HDLI_ADM_A_18"	-30.0211172462831	4.10110963679023
"LDAL_PM_A_1"	-27.8376116591478	15.592396759958
"HDAL_PF_A_1"	-27.0913040540641	16.9744417389489
"LDAL_PF_A_3"	-27.0214045032878	15.6974265959966
"HDLI_PF_A_1"	-24.6941494172098	17.109953302355
"HDAL_PF_A_3"	-24.5054383953733	17.4537974373437
"HDAL_ADF_A_3"	-23.7132500690965	4.96266691034638
"LDAL_ADF_A_18"	-23.4312347125252	4.92411270557346
"HDAL_III_H_18"	-22.8853285673643	-0.0289624020450706
"HDLI_ADF_A_18"	-22.5651971273446	4.6437795067707
"HDAL_III_H_1"	-20.1669178924026	-5.49838973194214
"HDLI_PM_A_4"	-18.5574125512917	10.3888124641136
"LDAL_PM_A_3"	-17.2208897564408	18.9094571080247
"HDAL_PMA_A_1"	-16.7374240454731	13.6699051608069
"LDAL_PF_A_1"	-14.5386467951961	18.4236542941381
"LDAL_ADF_A_4"	-11.0611478428853	9.18160079293454
"HDLI_PM_A_3"	-10.327978033338	20.5720976677631
"LDAL_ADF_A_1"	-9.32398800856553	9.64351017729958
"HDLI_PM_A_1"	-7.56490852677103	21.5934496396317
"HDLI_PF_A_4"	-4.90528850206657	22.6729508016293
"HDAL_V_H_3"	-4.69317089108675	6.59017027803489
"HDAL_PMB_A_1"	-3.46140352294985	19.3138085316712
"LDAL_PM_A_18"	-2.71264118897055	22.3163339068407
"HDAL_III_H_4"	1.30684547114748	6.89386112953659
"HDLI_PF_A_3"	3.24069503457506	19.9642822866831
"LDAL_V_H_3"	9.96687027365879	13.0718020675476
"HDAL_V_H_4"	11.4999579322164	12.6421923580005
"LDAL_V_H_1"	12.1679963805173	8.2514062164201
"HDAL_V_H_18"	14.9088520487454	8.99249792017692
"HDLI_V_H_1"	21.6768277027893	15.312843951132
"LDAL_III_H_18"	23.495632511731	12.0546372443966
"HDLI_V_H_3"	24.0724100749892	16.8156882970491
"HDLI_V_H_18"	24.5628315546276	14.3018370448806
"HDLI_III_H_4"	30.9245555086101	14.5439112928935
"LDAL_V_H_4"	33.3874658945917	17.6470972994405
"LDAL_III_H_4"	38.8747297617067	14.0789421142492
"LDAL_V_H_18"	41.4281427302188	26.3196809755028
"HDAL_III_H_3"	43.391115372512	-19.3772523369695
"LDAL_III_H_1"	43.6198761588651	15.2129304363477
"HDAL_V_H_1"	43.6474354828415	20.8691196007088
"HDLI_V_H_4"	43.6626860017372	20.6722416798195
"HDLI_III_H_18"	44.1878386124939	16.3807125180049
"HDLI_III_A_3"	48.971508173661	-390.49205551316
"HDLI_III_H_1"	49.4914418926137	17.8139506491436
"LDAL_PF_H_4"	69.0896057245444	30.1745404524811
"HDLI_PM_H_4"	69.5789380749564	26.6711899210759
"HDLI_PF_H_3"	69.7225714553365	35.4476066252298
"LDAL_ADF_H_18"	69.7374970561245	18.7640174757944
"HDLI_PF_H_18"	69.8276080525319	23.5070353790293
"LDAL_PF_H_18"	76.6999584258337	26.9185812134163
"HDLI_PM_H_18"	76.9144049692201	27.2736876645555
"HDAL_PF_H_18"	76.9310078970763	31.4123796363941
"LDAL_PF_H_1"	77.2348775306101	37.8939790267167
"HDAL_PM_H_3"	77.3959632979744	23.7052939462918
"HDLI_ADM_H_4"	78.2509256323258	23.6557159866713
"LDAL_PF_H_3"	78.2927527188419	39.2892631411382
"LDAL_ADF_H_1"	78.3093584859372	29.9934852070967
"LDAL_ADM_H_1"	78.7191891346817	25.8179342909798
"LDAL_ADF_H_3"	78.9596026671768	25.684547555576
"HDAL_ADM_H_18"	79.1239032193854	25.413965062064
"LDAL_ADMA_H_3"	81.0733902779814	27.2497027813436
"HDAL_PF_H_4"	81.0777698766129	41.779856134008
