sample	HDAL_ADF_A_1	HDAL_ADF_A_18	HDAL_ADF_A_3	HDAL_ADF_H_1	HDAL_ADF_H_18	HDAL_ADF_H_3	HDAL_ADM_A_1	HDAL_ADM_A_18	HDAL_ADM_H_1	HDAL_ADM_H_18	HDAL_III_A_1	HDAL_III_A_3	HDAL_III_A_4	HDAL_III_H_1	HDAL_III_H_18	HDAL_III_H_3	HDAL_III_H_4	HDAL_PF_A_1	HDAL_PF_A_18	HDAL_PF_A_3	HDAL_PF_A_4	HDAL_PF_H_1	HDAL_PF_H_18	HDAL_PF_H_3	HDAL_PF_H_4	HDAL_PMA_A_1	HDAL_PMA_H_1	HDAL_PMB_A_1	HDAL_PMB_H_1	HDAL_PM_A_18	HDAL_PM_A_3	HDAL_PM_H_18	HDAL_PM_H_3	HDAL_V_A_1	HDAL_V_A_18	HDAL_V_A_3	HDAL_V_A_4	HDAL_V_H_1	HDAL_V_H_18	HDAL_V_H_3	HDAL_V_H_4	HDLI_ADF_A_18	HDLI_ADF_H_18	HDLI_ADF_H_3	HDLI_ADM_A_18	HDLI_ADM_A_4	HDLI_ADM_H_18	HDLI_ADM_H_4	HDLI_III_A_1	HDLI_III_A_18	HDLI_III_A_3	HDLI_III_A_4	HDLI_III_H_1	HDLI_III_H_18	HDLI_III_H_3	HDLI_III_H_4	HDLI_PF_A_1	HDLI_PF_A_18	HDLI_PF_A_3	HDLI_PF_A_4	HDLI_PF_H_18	HDLI_PF_H_3	HDLI_PF_H_4	HDLI_PM_A_1	HDLI_PM_A_18	HDLI_PM_A_3	HDLI_PM_A_4	HDLI_PM_H_1	HDLI_PM_H_18	HDLI_PM_H_3	HDLI_PM_H_4	HDLI_V_A_1	HDLI_V_A_18	HDLI_V_A_3	HDLI_V_A_4	HDLI_V_H_1	HDLI_V_H_18	HDLI_V_H_3	HDLI_V_H_4	LDAL_ADF_A_1	LDAL_ADF_A_18	LDAL_ADF_A_4	LDAL_ADF_H_1	LDAL_ADF_H_18	LDAL_ADF_H_3	LDAL_ADF_H_4	LDAL_ADMA_H_3	LDAL_ADMB_A_3	LDAL_ADMB_H_3	LDAL_ADM_A_1	LDAL_ADM_A_18	LDAL_ADM_H_1	LDAL_ADM_H_18	LDAL_III_A_1	LDAL_III_A_18	LDAL_III_A_3	LDAL_III_A_4	LDAL_III_H_1	LDAL_III_H_18	LDAL_III_H_3	LDAL_III_H_4	LDAL_PF_A_1	LDAL_PF_A_18	LDAL_PF_A_3	LDAL_PF_A_4	LDAL_PF_H_1	LDAL_PF_H_18	LDAL_PF_H_3	LDAL_PF_H_4	LDAL_PM_A_1	LDAL_PM_A_18	LDAL_PM_A_3	LDAL_PM_H_1	LDAL_PM_H_18	LDAL_PM_H_3	LDAL_PM_H_4	LDAL_V_A_1	LDAL_V_A_18	LDAL_V_A_3	LDAL_V_A_4	LDAL_V_H_1	LDAL_V_H_18	LDAL_V_H_3	LDAL_V_H_4
HDAL_ADF_A_1	0	230.729919652917	80.3104943990852	212.124208635543	209.361374193262	206.982320376819	297.726182437731	247.868938758512	209.30075937697	207.389342498573	255.811273730704	194.196573369688	183.806457934968	236.151550859282	254.988369029243	248.869506360085	191.96548303568	172.552908184784	210.937987086881	179.014558894582	321.878859174683	217.004054096338	211.404570694353	220.925358873286	212.527642153651	188.107028921273	212.818097576693	288.45189749494	256.744859538836	179.00686124575	203.502176168103	214.390853909628	221.633379720034	333.922921864562	235.136372227411	241.130522893867	305.95264130717	188.129549856805	186.136040962496	189.353061418158	180.582102881482	81.2712403103633	208.904692556302	204.394889913814	84.6279455449085	216.415886648837	208.131357971229	205.792212511885	235.032351608723	212.232205576654	599.833614060548	188.278286495785	200.740720219705	199.195596432349	800.73734239835	183.039607362221	174.399386033529	210.785267564127	175.046296225336	171.798513990445	207.911166697068	203.782638501192	214.254120688659	176.062713311157	290.283880585396	171.640734442994	177.175307123607	210.578553907273	206.216489192291	212.445861764893	201.265603609675	261.994408875024	264.558473947654	216.442426296779	207.520505801432	180.902438118291	181.216882489306	181.045733428045	188.748021348735	112.627854616013	95.3449967369112	107.544446213014	205.45709419615	216.039273793738	202.10887623042	206.881003772805	203.405154351906	474.031052831982	205.707954408069	323.951446197042	297.935760384608	203.647526270437	212.986582455173	240.369000780415	196.533047825528	225.713348465597	266.746504740098	197.556711657385	181.863354244191	531.836420237343	197.857808856141	176.847096537321	194.522428874385	169.001193841577	191.539963083666	209.838886718948	207.291172686468	207.407557893996	200.930261254965	170.10297530119	177.383429017935	174.876885412598	212.381886005099	216.048859517584	207.960076588852	218.212516214059	240.885123580163	317.115304965793	228.477203465119	213.981366122497	181.637727538925	189.35360959477	180.339381493941	184.051173833271
HDAL_ADF_A_18	230.729919652917	0	222.578125624683	305.40345652932	300.13132647592	302.446229572677	368.762788514068	329.585292156818	303.119748788133	299.04710813323	332.833595339553	292.668040659485	278.172076312177	319.374150580474	330.692628993838	329.926522594757	288.794315916616	278.073929838042	298.87112404648	279.773388639115	388.133700250705	306.037064955804	302.06679798903	308.228528792554	301.839313191969	285.435060056236	303.062854738656	361.842799318277	333.996237181771	280.155498336001	300.678361152598	301.582239808456	312.368769557725	393.452681700617	316.31998632317	322.19437021276	372.571791737565	283.552979398552	280.945483785482	284.670533186636	278.974687337836	231.123662313727	299.724699731043	298.859394277669	229.626614872437	307.141717040263	299.144532083069	299.790372611784	316.780262227217	301.247865216969	635.378668683794	285.197696448416	291.7906937033	289.808348171483	828.60007580374	281.356093937005	277.332075277727	295.704413613415	279.86122167327	277.729548980232	298.197554627863	296.984887892821	303.663945612532	280.191984920455	361.68040932304	276.772290607155	284.729776485471	300.720984202269	299.807275416541	302.571549471803	296.967870031983	339.111104868759	339.648546161294	303.955292084691	296.99705185488	280.982603517023	280.14586639788	280.111003147632	286.135353293547	234.276631345661	231.864140754994	230.775952399038	296.834297456485	306.941589319267	297.960044954396	301.275333719036	299.041483109256	525.041844080647	299.451330497883	389.467675879174	367.813023078001	298.380764457754	304.657453383037	322.935248070808	290.755145332765	316.271532904452	342.067987402816	291.184473042767	279.803380739395	576.978670238655	290.249830621653	279.43845648127	291.389749437775	275.236912403208	294.105624926877	299.986178756818	302.249694932171	299.243893330373	295.542782088126	275.34965541666	276.427017829783	276.768617091617	302.240343065106	302.782656398646	300.514981723118	306.014380662655	323.075372472237	381.570392605853	314.038719850375	302.658729144432	282.293165508545	283.577849758108	279.899093916572	282.52415070946
HDAL_ADF_A_3	80.3104943990852	222.578125624683	0	208.133159001986	207.932415406069	202.301083537092	301.675159898765	252.447773546021	208.652358295489	204.25135860426	255.600150528731	197.020893775796	178.607946229507	236.449533086548	254.118926110549	243.280354842216	193.236902757706	175.0013684214	213.873796773308	179.994456996663	323.701137705407	210.709263206044	205.156028695887	216.241914865701	206.790146104435	192.201673075898	210.068212369974	289.558082922234	250.839362283071	183.453087599843	206.410582775335	207.669692718172	217.684376409555	334.172522030439	235.723394440135	244.729515710767	307.234973021354	181.216157254598	179.65549769901	183.937424220805	175.397956259152	79.826651769644	202.565276158234	199.171465071769	79.4284080947657	215.151319647233	202.508068913709	199.84899712664	234.223795840186	213.632541060502	598.727793912747	189.421809193327	195.000910570462	194.469064719944	799.061348976303	180.555516093927	174.291775229747	208.648271582407	175.793470579922	174.024511982319	198.736209888362	197.746082163148	207.842884094584	178.683725717325	290.04686852041	173.214412741946	182.029887729709	204.170937254244	201.676049579605	204.787319177652	195.591653071886	264.778184618865	269.00671591671	220.109003000129	207.996827579602	177.263388595098	178.702564987969	176.99183607523	184.067426466508	118.430820246217	90.7212242712073	104.079508775165	201.597027225345	217.675084566936	198.019929271482	204.909921504273	200.544469387224	476.499717022314	204.071594777714	329.937118399176	298.125287395198	198.69004099338	210.191336829227	241.187792968378	200.223484001583	229.739123813252	266.624686066565	193.46957109958	177.50461877357	530.624765027168	191.163508234692	174.751506683749	194.924624104159	173.241027471595	197.448318407618	201.306839392385	206.244012867857	201.892266861859	195.107995505087	169.263704871286	174.538719300899	171.786553081478	204.447265590225	207.89303750497	204.332365794467	211.755861358446	245.635604105659	318.564773790523	231.791240092094	217.94171645033	178.2319733453	184.592457365327	177.274612698824	179.634568481353
HDAL_ADF_H_1	212.124208635543	305.40345652932	208.133159001986	0	114.200752084926	99.5402319422025	349.474994973327	306.507836682204	112.860440314584	96.429877685241	316.347207947018	262.004757273276	240.194913439934	254.777115931681	282.452162699109	232.767544055239	219.431831479258	233.061784065464	267.899897259601	242.713363708528	358.434983489292	190.316953796134	187.305690148004	203.351877532259	195.236811101038	235.619365876851	198.825545096769	326.213149676023	224.315150761158	248.00544472689	259.936095906379	193.897826192474	204.307920125826	385.204566977857	300.543128463404	314.670372751409	358.83703530571	184.379258704522	194.57683458321	209.410157883951	196.607876086313	209.153657457078	84.3371815982852	85.2181887047055	213.875644225186	272.722741490882	99.6555143948317	94.0632400830192	281.050476383533	274.077332012101	613.381370853823	255.264597074751	205.749058208767	207.851982353726	792.732287565697	197.311909666823	233.742341435464	255.679923735195	226.493122330453	232.556788040387	187.41662004265	201.340331078927	192.018155503596	237.436933012671	328.700052523552	229.455142972835	232.156446170188	195.988929671283	186.55820966351	195.228761208311	185.953352705853	325.422797137458	325.605096657989	286.169481382907	274.774783894104	189.579717832581	186.899154932678	190.20297558069	183.511072519105	225.522825953092	219.505873220282	210.551199565535	102.560293904564	148.935458305167	81.9077687492681	115.165929768999	89.3091948250045	500.827499757543	114.031522290977	377.805462437497	336.388894954027	80.8217574443858	108.835584565256	291.018211238921	265.566831195958	280.952529153573	312.546415987608	209.764667414704	195.129982679787	525.268688079713	206.47807411123	231.879297714828	245.321609190925	237.11585348052	254.13314100893	194.783353958226	199.287339113704	193.743080921945	187.853115332437	233.717253303566	234.215487988108	234.455154639234	191.401612494748	197.146886234752	198.211671355176	191.874126236012	305.758335292093	365.814800077974	294.703395562352	283.912024161272	193.046653191138	206.226523485753	204.389492975405	186.522878254489
HDAL_ADF_H_18	209.361374193262	300.13132647592	207.932415406069	114.200752084926	0	75.2734461936339	350.161869720781	303.487182321122	82.2777041466217	95.944978468268	316.542136355014	263.670835302517	236.814846954748	253.973141205165	276.891784833655	236.996783914547	210.603115342986	229.21294949633	263.046776445834	236.099715005365	355.355648646304	178.094621452146	180.85776791052	188.359080495631	181.155113662151	226.609332135908	184.147029236466	322.714455043622	211.692711816451	241.245273710196	261.396446865861	179.049217427439	200.333935755013	388.996188322889	300.184179047711	316.649946049396	359.287246848252	174.573257043724	188.742483886988	206.193553101096	188.45212959804	204.914323147777	89.1732524316466	90.193363889887	210.849896635499	276.827509347986	86.4252241880215	100.859782990131	279.093066056623	270.893759621797	614.420187300624	251.317606032835	194.795116081799	195.608242261496	793.963999574589	185.681871319563	230.712908495211	255.797747597195	221.890780762993	223.796951871523	185.460361366044	192.891528744191	177.686828845937	231.477997965473	328.514656045103	222.985271684642	229.899151606628	184.63533023304	179.388792920169	184.692812609754	182.179069798371	324.724642891196	324.966495678435	283.47891875634	274.490958623196	181.189638088388	175.746509473827	182.02829492851	171.109495032969	209.777595453287	216.588810131703	195.710144220514	87.9534378354746	129.061572985558	94.9170126389733	77.9659734910605	91.010927119797	494.929887877544	64.0299079415874	377.434985430288	336.880906726571	95.5171256616456	76.7007686595468	290.010951961676	260.806810090628	285.863131069113	310.420930696658	199.342048653839	184.644358793678	529.751416917729	198.515140085451	230.036813600427	246.684233545811	227.395779578915	252.067214801658	188.026026437837	177.90706692345	182.289697098925	182.376926131612	229.999261234971	226.833464215601	230.360771571614	181.333946028226	184.161175728164	183.241044632562	176.69118072772	305.309407940821	363.195512697671	293.707191343178	282.986163452125	188.391999085632	191.980044385671	198.25258742678	176.858995239081
HDAL_ADF_H_3	206.982320376819	302.446229572677	202.301083537092	99.5402319422025	75.2734461936339	0	349.332338579308	303.619620921243	72.9860305057862	89.9996413075814	315.92749892586	260.380441029732	236.443864629211	252.31399271675	277.880492638976	229.306798607603	212.091282433877	228.272139851353	263.484497034494	236.052317464821	354.546235803064	179.624851665481	178.842455101566	191.519663853444	183.432572106991	227.927308937821	188.11316094305	321.728001452201	213.847001157511	242.589685971866	256.451367020267	182.427751579785	195.193574317352	386.929976624308	300.014422306178	315.510501053206	358.900341922692	175.267965404685	188.749943158375	203.810712716834	188.901989370774	204.642193164449	82.8454166419606	74.3517475344375	209.837413129815	271.909433054328	83.800767588961	85.9154988307691	277.873341927198	271.985885894404	612.076871414666	251.878219710374	197.214224341038	199.076089711186	791.673579333966	188.45460576502	229.044255213031	250.505658836548	219.333187868495	223.006996351065	178.425394143093	190.978767185141	178.921764346197	231.454313976653	326.243745799452	222.309979857645	224.606465412713	185.820303003487	175.990463157594	183.887024787286	176.189160028475	325.211113196067	326.385813391871	283.582776719526	274.370148175446	181.190436884924	177.435150745954	181.871727384576	173.165000718308	215.27142821079	215.216961441668	193.484744028674	89.5516973485759	126.931899387718	73.8529694671007	71.9054575437088	76.4864155868818	494.980168125904	68.7546282466869	377.511067528561	336.385957229025	80.2510922492387	68.9722181269085	289.822015184932	262.514414115413	281.230482444613	309.701521672816	201.297517286868	187.251089174348	524.731173207633	198.817982775975	226.545386359617	241.089064516186	227.410444221606	248.291384987974	186.062097314335	175.908368746542	182.587749352097	178.979808615384	227.991434145324	226.521721899021	227.970141094347	180.447010648653	185.743231111342	185.391251850766	179.769499295428	305.676318760241	364.357871572041	293.455388634571	282.931780387297	186.706073711701	196.003593390689	198.278956908827	176.97127037494
HDAL_ADM_A_1	297.726182437731	368.762788514068	301.675159898765	349.474994973327	350.161869720781	349.332338579308	0	181.912881505496	347.91269580839	342.193813596353	294.224461526874	328.322518971238	331.774752825896	361.691979143258	378.269019469812	369.947592459716	340.932994491904	326.990615623266	342.580004938565	330.977176666005	423.853527469845	360.39896660486	353.167186242213	363.780814491182	357.461601755424	327.288954926168	357.487496767866	402.696095547585	385.746423011718	330.810292496602	339.802786606432	358.629988338353	361.036478403724	415.172541745309	289.53391175879	352.637101734203	328.270669202439	341.272233743148	334.716162761627	335.400194364194	332.839942125604	300.573096466656	343.451763239246	341.628470930681	298.359919515608	301.539625905992	344.245881863196	341.027311244689	363.103716752565	306.172529011469	659.5929573067	333.268644798544	349.76003133055	346.273409424339	845.966984217774	338.302384778636	325.584238730295	338.993418454612	332.521591915989	335.848568796187	349.025496934713	352.98939910266	358.357799154937	335.61656208335	390.802930803816	329.770318950251	333.051067639214	357.700163608141	351.818668843418	358.58526501714	348.659691070891	290.450474627222	291.907785145381	343.875081769507	329.884470130853	331.332084523501	333.336003954138	334.625285333593	340.121914411589	317.277996103771	305.362960434613	314.858740113577	342.556092175969	348.626200263911	340.28527000683	347.00868133004	341.82772262129	355.697536851299	345.356071990574	224.268465208725	205.731973613079	341.150737871763	349.734584779519	317.573663682952	336.368650138272	350.398304745682	381.614442874284	347.409144353646	336.236693250422	599.752106194365	345.838419366589	333.011146507481	332.681567278483	327.315275442215	329.210048967245	355.065397558987	355.804828068814	354.021180470842	348.721667522889	324.815600423178	335.200674872247	330.627941139668	357.666049921662	359.726045301908	357.744698712873	359.740686923767	308.229663358808	379.458427298774	348.176993379634	337.020474453433	332.525793756181	343.920101693757	334.969397375137	337.91220630759
HDAL_ADM_A_18	247.868938758512	329.585292156818	252.447773546021	306.507836682204	303.487182321122	303.619620921243	181.912881505496	0	303.524954319538	296.774205512874	261.045451590873	286.077056144837	288.67898499328	324.637122602904	340.726916076652	333.079686363492	297.207866313165	280.295475638973	299.093984656279	283.977596605269	389.005513289717	317.883170378169	309.210512077606	320.987071929158	313.487045563318	281.426456758998	314.575860403783	365.58601240571	345.097189716873	282.284197178004	295.616070137273	314.754223438357	318.733514825898	389.586098433948	250.31818372711	317.022308306824	300.69000982234	299.115417791707	291.213935566002	293.377152091265	289.781090012113	250.154218144747	299.307819064382	297.467721011897	249.150247926369	231.551320911011	299.107497729313	297.101083392706	325.623389704003	263.063474932493	639.577488522888	289.238745322687	307.373779060243	301.173604622006	830.01868659299	292.785431117538	280.971316173105	297.542835328658	287.506394190542	288.114032099945	306.637344315125	309.806061925893	314.579660811854	289.880688640044	356.250129209864	283.606327137019	286.897051666238	314.529341309458	307.970466846857	316.177898709455	304.373477673327	256.63681889493	256.803772914509	301.808525498132	287.861424922815	287.092881895039	286.709101245467	289.321214493564	295.480253374007	268.559050852938	257.638212524692	261.16833828296	299.054982649699	303.268969408582	295.189208258782	300.861484526883	297.128443332024	344.366727133262	299.678742003891	188.260560820057	165.263164269662	297.753232383366	303.697368116686	278.654254103949	291.942171660505	309.822177351446	343.25554044993	302.920040184139	290.237282628368	576.239133457923	301.390313694972	289.353162373118	289.355609877593	277.711944923272	284.137165761244	314.041718399268	309.084952257255	310.107516755553	304.175540774171	279.18691526021	289.236895700733	285.768336812154	316.277250942306	317.717767298004	312.899083786851	316.236728401369	268.552890887321	345.622518583162	308.100341128281	294.709081960736	287.664767767523	297.156645248572	289.013470573701	292.05320225057
HDAL_ADM_H_1	209.30075937697	303.119748788133	208.652358295489	112.860440314584	82.2777041466217	72.9860305057862	347.91269580839	303.524954319538	0	86.6500733204358	315.460778969391	261.256015881418	236.412915630216	252.52627366936	276.862296476942	232.86356753553	209.786030439422	230.249982177975	264.257000394862	236.926710360194	357.488522758514	178.793997266319	183.649743156594	186.54561635855	184.554378268501	222.906827850147	182.089151637909	322.338122239195	211.109690443004	243.420654757751	260.021429965811	180.300394171304	200.371028453163	388.062551930669	301.538059127729	316.55711021427	360.105679303477	175.202304297905	190.464444203359	206.92842221948	191.185815074745	207.231032984552	94.7587684628387	84.4604656551765	212.624817006062	275.543351921979	87.6409367668267	93.219676660213	278.526862368395	271.728186902227	612.441687690282	251.391199659714	191.909304952028	194.686238758467	791.85687016596	184.167594883125	229.584194810598	255.16835167818	222.499955672653	226.642728172285	185.45026190046	192.8853867874	179.975705696963	231.176655605826	329.312164663597	222.313445386893	230.177391142349	185.269652117757	181.394261861726	185.230026787258	181.855381647192	324.769912382864	325.778371312225	283.084749477841	275.21808831209	182.5604747461	177.732269021144	182.114858396155	172.778674485902	212.022933785743	216.261603339581	198.856057984034	84.6486326640148	118.326564766291	88.2900704831672	67.072980651872	83.4110841190763	494.182924944812	78.3858903269981	376.092973597783	335.871873315831	89.3648633309014	73.7214635632467	290.175910819691	261.944969368566	282.486813817143	311.711243839794	197.780014024821	187.411196257699	528.122396570622	198.878250192545	229.837831095183	247.813008142014	227.887341145814	253.177551625383	187.765705705351	182.211709900116	182.586158731513	182.370128970294	230.436120790811	229.45150026213	230.350391871728	182.238264015976	187.06453399792	184.373946099273	178.286825129924	303.989114298776	363.540210982494	293.950390407065	283.700835774976	188.949576870352	194.270436306728	199.947365886445	178.661287896196
HDAL_ADM_H_18	207.389342498573	299.04710813323	204.25135860426	96.429877685241	95.944978468268	89.9996413075814	342.193813596353	296.774205512874	86.6500733204358	0	306.231714256403	251.977059285828	229.753425962431	246.041246419847	272.565637707001	226.328877734463	206.91480890825	226.014181794211	259.713493500735	235.253027161259	354.615720279482	182.417895187246	179.680415563457	191.62497811403	186.171970830031	218.744515442246	183.725368558273	321.9360972523	215.932745332012	237.87206424631	254.366791671628	181.30882463632	197.978948749752	378.912549732983	291.311926448376	305.95359442059	349.95316937797	174.856711400123	182.779974057329	200.699747147972	186.669934269714	200.602131538605	63.58746614743	73.8865979480918	206.581881848367	267.344781731849	67.8222500216838	71.5105235287808	273.952826175105	263.181954471112	609.853871670183	243.928291135936	194.086636949431	193.409693636781	790.823930596888	182.81778930316	226.449725606561	248.444416806541	219.767202018003	227.565405170046	180.014069103671	193.374678486278	182.697459113761	229.861916371853	324.633385486391	220.565991494129	227.877287538998	188.43596745578	178.364678839644	187.522015668447	178.677672162149	314.980999985727	313.709766775349	274.709125405695	264.523005829767	179.008206785996	173.314835755824	178.703717794961	171.400392308804	215.29772011224	210.412226506868	207.318138533879	78.2752130401575	115.312920390992	70.2585795820994	89.6114383876278	70.7577605594415	495.62702896009	99.3313567480896	368.734574043926	327.3635620497	68.4236055777913	82.4214931083746	282.360935615602	253.790067878075	271.995913347041	306.784783661	199.808156811298	182.135897456931	525.468844896171	197.515526855897	227.316164316683	241.186694052792	228.80496761733	250.067698791215	188.117892832222	191.491362350856	183.993513032934	179.841166426114	227.594218706863	226.362132030954	228.243429868355	184.177011953174	186.816678133863	187.874716920188	180.93939356678	293.646932926564	356.442878448188	284.892483231678	273.788473588546	184.523659779346	193.480435443754	194.938881788351	176.350575951606
