"Var1" "Freq"
"1" "-" 163
"2" "K00027" 1
"3" "K00029" 1
"4" "K00058" 1
"5" "K00079" 1
"6" "K00115" 1
"7" "K00565" 1
"8" "K00670" 1
"9" "K00698" 1
"10" "K00710" 1
"11" "K00753" 1
"12" "K00771" 1
"13" "K00784" 1
"14" "K00799" 1
"15" "K00814" 1
"16" "K00819" 1
"17" "K00871" 1
"18" "K00913" 1
"19" "K01001" 1
"20" "K01166" 1
"21" "K01176" 1
"22" "K01183" 1
"23" "K01187" 1
"24" "K01290" 1
"25" "K01298" 3
"26" "K01301" 1
"27" "K01376" 1
"28" "K01395" 1
"29" "K01436" 1
"30" "K01443" 1
"31" "K01446" 1
"32" "K01466" 1
"33" "K01469" 1
"34" "K01537" 1
"35" "K01672" 1
"36" "K01875" 1
"37" "K01883" 1
"38" "K01893" 1
"39" "K01908" 1
"40" "K01930" 1
"41" "K01931" 1
"42" "K02183" 2
"43" "K02331" 1
"44" "K02333" 1
"45" "K02373" 1
"46" "K02678" 1
"47" "K03120" 1
"48" "K03123" 1
"49" "K03124" 1
"50" "K03125" 1
"51" "K03174" 1
"52" "K03193" 1
"53" "K03231" 1
"54" "K03238" 1
"55" "K03350" 1
"56" "K03424" 1
"57" "K03662" 1
"58" "K03691" 1
"59" "K03849" 1
"60" "K03917" 1
"61" "K04097" 1
"62" "K04370" 1
"63" "K04392" 2
"64" "K04393" 1
"65" "K04406" 1
"66" "K04408" 1
"67" "K04409" 1
"68" "K04410" 1
"69" "K04412" 1
"70" "K04427" 1
"71" "K04451" 1
"72" "K04491" 1
"73" "K04503" 1
"74" "K04505" 1
"75" "K04506" 1
"76" "K04522" 1
"77" "K04536" 1
"78" "K04537" 1
"79" "K04538" 1
"80" "K04552" 1
"81" "K04599" 1
"82" "K04661" 1
"83" "K04733" 1
"84" "K05010" 1
"85" "K05011" 1
"86" "K05019" 1
"87" "K05022" 1
"88" "K05285" 1
"89" "K05291" 1
"90" "K05293" 2
"91" "K05330" 2
"92" "K05336" 2
"93" "K05619" 1
"94" "K05658" 1
"95" "K05673" 2
"96" "K05728" 1
"97" "K05733" 1
"98" "K05746" 1
"99" "K05747" 1
"100" "K05752" 1
"101" "K05870" 1
"102" "K06013" 1
"103" "K06064" 1
"104" "K06067" 1
"105" "K06170" 1
"106" "K06224" 1
"107" "K06258" 1
"108" "K06259" 1
"109" "K06265" 1
"110" "K06272" 1
"111" "K06316" 1
"112" "K06483" 1
"113" "K06484" 1
"114" "K06487" 1
"115" "K06497" 2
"116" "K06515" 1
"117" "K06584" 1
"118" "K06585" 1
"119" "K06626" 1
"120" "K06670" 1
"121" "K06689" 1
"122" "K06753" 1
"123" "K06754" 1
"124" "K06755" 1
"125" "K06883" 1
"126" "K06997" 1
"127" "K07192" 1
"128" "K07252" 1
"129" "K07364" 1
"130" "K07369" 1
"131" "K07370" 1
"132" "K07376" 1
"133" "K07436" 1
"134" "K07555" 1
"135" "K07635" 1
"136" "K07765" 1
"137" "K07827" 1
"138" "K07828" 1
"139" "K07834" 1
"140" "K07860" 1
"141" "K07861" 1
"142" "K07876" 1
"143" "K07904" 1
"144" "K07905" 1
"145" "K08048" 1
"146" "K08054" 1
"147" "K08059" 1
"148" "K08145" 2
"149" "K08202" 1
"150" "K08291" 1
"151" "K08366" 1
"152" "K08532" 1
"153" "K08533" 1
"154" "K08595" 1
"155" "K08596" 1
"156" "K08597" 1
"157" "K08606" 1
"158" "K08653" 1
"159" "K08701" 1
"160" "K08744" 1
"161" "K08745" 1
"162" "K08794" 1
"163" "K08800" 1
"164" "K08826" 1
"165" "K08833" 1
"166" "K08836" 1
"167" "K08837" 1
"168" "K08851" 1
"169" "K08863" 1
"170" "K08888" 1
"171" "K08957" 1
"172" "K09050" 1
"173" "K09052" 1
"174" "K09097" 1
"175" "K09108" 1
"176" "K09115" 1
"177" "K09201" 1
"178" "K09275" 1
"179" "K09395" 1
"180" "K09397" 1
"181" "K09411" 1
"182" "K09506" 1
"183" "K09518" 1
"184" "K09520" 1
"185" "K09541" 1
"186" "K09542" 1
"187" "K09551" 1
"188" "K09598" 1
"189" "K09611" 1
"190" "K09640" 3
"191" "K09645" 1
"192" "K09646" 1
"193" "K09828" 1
"194" "K09848" 1
"195" "K09849" 1
"196" "K10093" 1
"197" "K10151" 1
"198" "K10152" 1
"199" "K10249" 2
"200" "K10268" 1
"201" "K10295" 1
"202" "K10349" 1
"203" "K10358" 1
"204" "K10359" 1
"205" "K10382" 1
"206" "K10388" 1
"207" "K10415" 1
"208" "K10419" 1
"209" "K10420" 1
"210" "K10479" 1
"211" "K10523" 1
"212" "K10575" 1
"213" "K10589" 1
"214" "K10596" 1
"215" "K10666" 1
"216" "K10722" 1
"217" "K10839" 1
"218" "K10867" 1
"219" "K10871" 1
"220" "K10888" 1
"221" "K11124" 1
"222" "K11125" 1
"223" "K11140" 1
"224" "K11267" 1
"225" "K11305" 1
"226" "K11306" 1
"227" "K11321" 1
"228" "K11338" 1
"229" "K11423" 1
"230" "K11488" 1
"231" "K11593" 1
"232" "K11728" 1
"233" "K11792" 1
"234" "K11802" 1
"235" "K11838" 1
"236" "K11964" 1
"237" "K11984" 1
"238" "K11988" 1
"239" "K11989" 1
"240" "K11990" 1
"241" "K11996" 1
"242" "K12162" 1
"243" "K12188" 1
"244" "K12231" 1
"245" "K12316" 1
"246" "K12345" 1
"247" "K12384" 1
"248" "K12480" 1
"249" "K12484" 1
"250" "K12485" 1
"251" "K12493" 1
"252" "K12562" 1
"253" "K12600" 1
"254" "K12614" 1
"255" "K12823" 1
"256" "K13023" 2
"257" "K13102" 1
"258" "K13111" 1
"259" "K13114" 1
"260" "K13134" 1
"261" "K13199" 1
"262" "K13201" 1
"263" "K13214" 1
"264" "K13219" 1
"265" "K13348" 2
"266" "K13356" 3
"267" "K13515" 1
"268" "K13517" 1
"269" "K13523" 1
"270" "K13754" 1
"271" "K13885" 1
"272" "K14033" 1
"273" "K14157" 2
"274" "K14169" 1
"275" "K14210" 1
"276" "K14322" 1
"277" "K14401" 1
"278" "K14404" 1
"279" "K14405" 1
"280" "K14408" 1
"281" "K14464" 1
"282" "K14574" 1
"283" "K14590" 1
"284" "K14620" 1
"285" "K14677" 1
"286" "K14689" 1
"287" "K14690" 1
"288" "K14695" 1
"289" "K14711" 2
"290" "K14712" 2
"291" "K14716" 2
"292" "K14845" 1
"293" "K14945" 1
"294" "K14966" 1
"295" "K14972" 1
"296" "K14999" 1
"297" "K15001" 1
"298" "K15032" 1
"299" "K15042" 1
"300" "K15043" 1
"301" "K15044" 1
"302" "K15143" 1
"303" "K15161" 1
"304" "K15167" 1
"305" "K15276" 2
"306" "K15336" 1
"307" "K15362" 1
"308" "K15382" 1
"309" "K15438" 1
"310" "K15516" 1
"311" "K15544" 1
"312" "K15589" 1
"313" "K15689" 1
"314" "K15700" 1
"315" "K15703" 1
"316" "K16365" 1
"317" "K16479" 1
"318" "K16526" 1
"319" "K16758" 1
"320" "K16782" 1
"321" "K16794" 1
"322" "K16795" 1
"323" "K16806" 1
"324" "K17081" 1
"325" "K17086" 1
"326" "K17254" 1
"327" "K17256" 1
"328" "K17420" 1
"329" "K17436" 1
"330" "K17508" 1
"331" "K17542" 1
"332" "K17600" 1
"333" "K17704" 1
"334" "K17823" 1
"335" "K17969" 1
"336" "K18166" 1
"337" "K18266" 1
"338" "K18271" 1
"339" "K18419" 1
"340" "K18463" 1
"341" "K18465" 1
"342" "K18468" 1
"343" "K18646" 1
"344" "K18647" 1
"345" "K18709" 1
"346" "K18733" 1
"347" "K18740" 1
"348" "K18849" 1
"349" "K18932" 1
"350" "K19041" 1
"351" "K19367" 1
"352" "K19404" 1
"353" "K19464" 1
"354" "K19480" 1
"355" "K19496" 1
"356" "K19497" 1
"357" "K19499" 1
"358" "K19573" 1
"359" "K19765" 1
"360" "K19827" 1
"361" "K20163" 1
"362" "K20225" 1
"363" "K20289" 1
"364" "K20293" 1
"365" "K20295" 1
"366" "K20308" 1
"367" "K20398" 1
"368" "K20456" 1
"369" "K20462" 1
"370" "K20465" 1
"371" "K20526" 1
"372" "K20752" 1
"373" "K20776" 1
"374" "K20793" 1
"375" "K20824" 1
"376" "K20825" 1
"377" "K21270" 2
"378" "K21413" 1
"379" "K21596" 1
"380" "K21806" 1
"381" "K21852" 1
"382" "K21914" 1
"383" "K21932" 1
"384" "K22037" 1
"385" "K22381" 1
"386" "K22383" 1
"387" "K22385" 1
"388" "K22403" 1
