"GO.ID","Term","Annotated","Significant","Expected","weight01Fisher","GO_descr"
"GO:0007291","sperm individualization",54,6,0.9,0.00026,"sperm individualization (GO:0007291)"
"GO:0019878","lysine biosynthetic process via aminoadipic acid",2,2,0.03,0.00028,"lysine biosynthetic process via aminoadipic acid (GO:0019878)"
"GO:1903615","positive regulation of protein tyrosine phosphatase activity",2,2,0.03,0.00028,"positive regulation of protein tyrosine phosphatase activity (GO:1903615)"
"GO:0019477","L-lysine catabolic process",2,2,0.03,0.00028,"L-lysine catabolic process (GO:0019477)"
"GO:0001675","acrosome assembly",9,3,0.15,0.00036,"acrosome assembly (GO:0001675)"
"GO:0051491","positive regulation of filopodium assembly",58,6,0.97,0.00039,"positive regulation of filopodium assembly (GO:0051491)"
"GO:0051835","positive regulation of synapse structural plasticity",3,2,0.05,0.00082,"positive regulation of synapse structural plasticity (GO:0051835)"
"GO:0050861","positive regulation of B cell receptor signaling pathway",3,2,0.05,0.00082,"positive regulation of B cell receptor signaling pathway (GO:0050861)"
"GO:0090023","positive regulation of neutrophil chemotaxis",4,2,0.07,0.00163,"positive regulation of neutrophil chemotaxis (GO:0090023)"
"GO:0006489","dolichyl diphosphate biosynthetic process",4,2,0.07,0.00163,"dolichyl diphosphate biosynthetic process (GO:0006489)"
"GO:1900227","positive regulation of NLRP3 inflammasome complex assembly",4,2,0.07,0.00163,"positive regulation of NLRP3 inflammasome complex assembly (GO:1900227)"
"GO:0051026","chiasma assembly",5,2,0.08,0.00268,"chiasma assembly (GO:0051026)"
"GO:0036150","phosphatidylserine acyl-chain remodeling",5,2,0.08,0.00268,"phosphatidylserine acyl-chain remodeling (GO:0036150)"
"GO:0060789","hair follicle placode formation",5,2,0.08,0.00268,"hair follicle placode formation (GO:0060789)"
"GO:0003334","keratinocyte development",5,2,0.08,0.00268,"keratinocyte development (GO:0003334)"
"GO:0048145","regulation of fibroblast proliferation",62,4,1.04,0.00392,"regulation of fibroblast proliferation (GO:0048145)"
"GO:0071578","zinc ion import across plasma membrane",6,2,0.1,0.00398,"zinc ion import across plasma membrane (GO:0071578)"
"GO:0035099","hemocyte migration",21,3,0.35,0.00487,"hemocyte migration (GO:0035099)"
"GO:0070207","protein homotrimerization",21,3,0.35,0.00487,"protein homotrimerization (GO:0070207)"
"GO:0036151","phosphatidylcholine acyl-chain remodeling",7,2,0.12,0.00551,"phosphatidylcholine acyl-chain remodeling (GO:0036151)"
"GO:0036152","phosphatidylethanolamine acyl-chain remodeling",7,2,0.12,0.00551,"phosphatidylethanolamine acyl-chain remodeling (GO:0036152)"
"GO:0002903","negative regulation of B cell apoptotic process",7,2,0.12,0.00551,"negative regulation of B cell apoptotic process (GO:0002903)"
"GO:0030381","chorion-containing eggshell pattern formation",7,2,0.12,0.00551,"chorion-containing eggshell pattern formation (GO:0030381)"
"GO:0046843","dorsal appendage formation",43,4,0.72,0.00555,"dorsal appendage formation (GO:0046843)"
"GO:0032760","positive regulation of tumor necrosis factor production",23,3,0.38,0.00632,"positive regulation of tumor necrosis factor production (GO:0032760)"
"GO:0007280","pole cell migration",24,3,0.4,0.00714,"pole cell migration (GO:0007280)"
"GO:0043497","regulation of protein heterodimerization activity",8,2,0.13,0.00726,"regulation of protein heterodimerization activity (GO:0043497)"
"GO:0070932","histone H3 deacetylation",8,2,0.13,0.00726,"histone H3 deacetylation (GO:0070932)"
"GO:0055113","epiboly involved in gastrulation with mouth forming second",8,2,0.13,0.00726,"epiboly involved in gastrulation with mouth forming second (GO:0055113)"
"GO:0032967","positive regulation of collagen biosynthetic process",8,2,0.13,0.00726,"positive regulation of collagen biosynthetic process (GO:0032967)"
"GO:0060235","lens induction in camera-type eye",8,2,0.13,0.00726,"lens induction in camera-type eye (GO:0060235)"
"GO:0006659","phosphatidylserine biosynthetic process",8,2,0.13,0.00726,"phosphatidylserine biosynthetic process (GO:0006659)"
"GO:0032488","Cdc42 protein signal transduction",8,2,0.13,0.00726,"Cdc42 protein signal transduction (GO:0032488)"
"GO:0010592","positive regulation of lamellipodium assembly",25,3,0.42,0.00802,"positive regulation of lamellipodium assembly (GO:0010592)"
"GO:0048013","ephrin receptor signaling pathway",52,5,0.87,0.00802,"ephrin receptor signaling pathway (GO:0048013)"
"GO:0007395","dorsal closure, spreading of leading edge cells",9,2,0.15,0.00924,"dorsal closure, spreading of leading edge cells (GO:0007395)"
"GO:0043619","regulation of transcription from RNA polymerase II promoter in response to oxidative stress",9,2,0.15,0.00924,"regulation of transcription from RNA polymerase II promoter in response to oxidative stress (GO:0043619)"
"GO:0015918","sterol transport",86,3,1.44,0.00927,"sterol transport (GO:0015918)"
