"","x"
"1","Vcard_DToL00065"
"2","Vcard_DToL00987"
"3","Vcard_DToL01221"
"4","Vcard_DToL01461"
"5","Vcard_DToL01847"
"6","Vcard_DToL01848"
"7","Vcard_DToL04177"
"8","Vcard_DToL04287"
"9","Vcard_DToL04556"
"10","Vcard_DToL05345"
"11","Vcard_DToL05597"
"12","Vcard_DToL06023"
"13","Vcard_DToL06636"
"14","Vcard_DToL07064"
"15","Vcard_DToL07084"
"16","Vcard_DToL07626"
"17","Vcard_DToL07667"
"18","Vcard_DToL07962"
"19","Vcard_DToL07964"
"20","Vcard_DToL07986"
"21","Vcard_DToL08184"
"22","Vcard_DToL08246"
"23","Vcard_DToL08808"
"24","Vcard_DToL08950"
"25","Vcard_DToL09601"
"26","Vcard_DToL09834"
"27","Vcard_DToL11904"
"28","Vcard_DToL11994"
"29","Vcard_DToL12126"
"30","Vcard_DToL12491"
"31","Vcard_DToL12850"
"32","Vcard_DToL13220"
"33","Vcard_DToL13737"
"34","Vcard_DToL15486"
"35","Vcard_DToL15617"
"36","Vcard_DToL15621"
"37","Vcard_DToL15624"
"38","Vcard_DToL16441"
"39","Vcard_DToL16530"
"40","Vcard_DToL16817"
"41","Vcard_DToL17056"
"42","Vcard_DToL17057"
"43","Vcard_DToL17175"
"44","Vcard_DToL18116"
"45","Vcard_DToL18627"
