"","GeneID","Function","GeneName","Func_Categ"
"9","Vcard_DToL04007","Chitin-binding domain type 2","-","CBM_14,Glyco_hydro_18"
"1733","Vcard_DToL16580","transferase activity, transferring acyl groups. It is involved in the biological process described with metabolic process","TMEM68","Acyltransferase"
"2308","Vcard_DToL02813","Leucine rich repeat C-terminal domain","-","LRR_1,LRR_5,LRR_8"
"4189","Vcard_DToL07089","Allantoicase repeat","-","Allantoicase"
"5208","Vcard_DToL10297","heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules","-","V-set"
"5218","Vcard_DToL10306","-","-","-"
"5617","Vcard_DToL12505","EF-hand, calcium binding motif","Scp2","EF-hand_5"
"6740","Vcard_DToL09758","Cytochrome P450","Cyp6g1","p450"
"7730","Vcard_DToL15662","Belongs to the UDP-glycosyltransferase family","-","UDPGT"
"7889","Vcard_DToL15857","SERine  Proteinase INhibitors","-","Serpin"
"8143","Vcard_DToL03596","Oxidoreductase family, C-terminal alpha/beta domain","-","GFO_IDH_MocA,GFO_IDH_MocA_C"
"8493","Vcard_DToL13888","Histidine phosphatase superfamily (branch 2)","-","His_Phos_2"
"8494","Vcard_DToL13889","Histidine phosphatase superfamily (branch 2)","-","His_Phos_2"
"9067","Vcard_DToL00887","Enoyl-(Acyl carrier protein) reductase","-","adh_short"
"10057","Vcard_DToL09468","Glycosyltransferase family 28 C-terminal domain","UGT2A1","UDPGT"
"10241","Vcard_DToL09711","Partial alpha/beta-hydrolase lipase region","-","Abhydro_lipase,Abhydrolase_1,Hydrolase_4"
"10271","Vcard_DToL05461","KR domain","-","adh_short"
"10362","Vcard_DToL05591","FAR-17a/AIG1-like protein","-","Far-17a_AIG1"
"11116","Vcard_DToL13323","Catalyzes the dehydration of the S-form of NAD(P)HX at the expense of ATP, which is converted to ADP. Together with NAD(P)HX epimerase, which catalyzes the epimerization of the S- and R-forms, the enzyme allows the repair of both epimers of NAD(P)HX, a damaged form of NAD(P)H that is a result of enzymatic or heat-dependent hydration","CARKD","Carb_kinase,Myb_DNA-bind_4"
"11624","Vcard_DToL14428","Lipocalin-like domain","-","Lipocalin"
"12383","Vcard_DToL06760","UDP-glucoronosyl and UDP-glucosyl transferase","UGT2A1","UDPGT"
"12386","Vcard_DToL06761","UDP-glucoronosyl and UDP-glucosyl transferase","UGT2A1","UDPGT"
"12465","Vcard_DToL06859","protein dimerization activity","-","Dimer_Tnp_hAT"
"13524","Vcard_DToL05110","Insect cuticle protein","-","Chitin_bind_4"
"14434","Vcard_DToL02554","Haemolymph juvenile hormone binding protein (JHBP)","-","JHBP"
"14468","Vcard_DToL02600","SCP / Tpx-1 / Ag5 / PR-1 / Sc7 family of extracellular domains.","glipr2","CAP"
