"","GeneID","Function","GeneName","Func_Categ"
"108","Vcard_DToL04146","Rho (Ras homology) subfamily of Ras-like small GTPases","RAC2","Ras"
"150","Vcard_DToL04196","septate junction assembly","-","-"
"164","Vcard_DToL04206","BTB/POZ domain","KCTD5","BTB_2"
"172","Vcard_DToL04223","Zinc-finger associated domain (zf-AD)","-","zf-AD,zf-C2H2"
"189","Vcard_DToL04243","Inward rectifier potassium channel","irk-2","IRK"
"219","Vcard_DToL04281","-","-","-"
"230","Vcard_DToL04296","binding. It is involved in the biological process described with regulation of transcription, DNA-templated","TAF1","Bromodomain,DUF3591,TBP-binding,zf-CCHC_6"
"246","Vcard_DToL04316","-","-","-"
"265","Vcard_DToL04345","Elongation complex protein 6","-","ELP6"
"267","Vcard_DToL04336","Neddylation of cullins play an essential role in the regulation of SCF-type complexes activity","DCUN1D3","Cullin_binding"
"269","Vcard_DToL04339","MBOAT, membrane-bound O-acyltransferase family","MBOAT1","MBOAT"
"308","Vcard_DToL04387","Roadblock/LC7 domain","LAMTOR2","Robl_LC7"
"311","Vcard_DToL04388","ICP0-binding domain of Ubiquitin-specific protease 7","USP7","MATH,UCH,USP7_C2,USP7_ICP0_bdg"
"357","Vcard_DToL04455","Allows the formation of correctly charged Gln-tRNA(Gln) through the transamidation of misacylated Glu-tRNA(Gln) in the mitochondria. The reaction takes place in the presence of glutamine and ATP through an activated gamma-phospho-Glu- tRNA(Gln)","POLG2","HGTP_anticodon"
"395","Vcard_DToL04511","zinc finger","ZNF598","zf-C3HC4_3"
"397","Vcard_DToL04514","Gemin6 protein","-","-"
"475","Vcard_DToL04618","tRNase Z endonuclease","ELAC2","Lactamase_B_2,Lactamase_B_4"
"607","Vcard_DToL07688","epidermal cell division","-","P53"
"627","Vcard_DToL07718","Double-stranded RNA binding motif","DGCR8","dsrm"
"689","Vcard_DToL07791","ubiquitin-dependent protein catabolic process","-","Sina"
"738","Vcard_DToL07856","helix loop helix domain","MNT","HLH"
"759","Vcard_DToL07884","Ubiquitin-conjugating enzyme E2, catalytic domain homologues","UBE2G1","UQ_con"
"768","Vcard_DToL07900","Flotillin","FLOT2","Band_7,Flot"
"775","Vcard_DToL07907","-","-","CCDC117"
"796","Vcard_DToL07935","-","-","-"
"801","Vcard_DToL07937","Oxysterol-binding protein","OSBP","Oxysterol_BP,PH"
"803","Vcard_DToL07940","Presenilin, signal peptide peptidase, family","SPPL3","Peptidase_A22B"
"842","Vcard_DToL07996","UEV domain","UBE2L3","UQ_con"
"873","Vcard_DToL08034","Small acidic protein family","RSRC2","SMAP"
"875","Vcard_DToL08031","Spindle and kinetochore-associated protein 2","-","SKA2"
"908","Vcard_DToL08077","Phosphatidylinositol-glycan biosynthesis class S protein","PIGS","PIG-S"
"975","Vcard_DToL08153","Domain of unknown function (DUF4807)","F58A4.6","DUF4807"
"1017","Vcard_DToL08198","Ras family","rab-35","Ras"
"1044","Vcard_DToL08238","AMP-binding enzyme","-","AMP-binding,AMP-binding_C"
"1046","Vcard_DToL08246","Enoyl-(Acyl carrier protein) reductase","DHRS11","adh_short"
"1095","Vcard_DToL10873","Cid1 family poly A polymerase","-","NTP_transf_2,PAP_assoc,RRM_1"
"1200","Vcard_DToL11000","Acetyltransferase (GNAT) domain","NAA50","Acetyltransf_1"
"1283","Vcard_DToL11114","Acetyltransferase (GNAT) domain","NAA30","Acetyltransf_1"
"1297","Vcard_DToL11136","-","-","CheR,Methyltransf_11,Methyltransf_4"
"1522","Vcard_DToL16322","Sugar (and other) transporter","-","Sugar_tr"
"1544","Vcard_DToL16349","N-terminal domain of NEFA-interacting nuclear protein NIP30","FAM192A","Nefa_Nip30_N"
"1567","Vcard_DToL16375","Calcium ion binding. It is involved in the biological process described with cell cycle arrest","DST","CH,EF-hand_7,GAS2,Plectin,S10_plectin,Spectrin"
"1582","Vcard_DToL16392","Hydantoinase B/oxoprolinase","OPLAH","Hydant_A_N,Hydantoinase_A,Hydantoinase_B"
"1605","Vcard_DToL16411","-","-","-"
"1618","Vcard_DToL16427","Sister chromatid cohesion protein PDS5 homolog","PDS5A","-"
"1827","Vcard_DToL16702","Lipopolysaccharide kinase (Kdo/WaaP) family","TP53RK","Kdo,Pkinase"
"1828","Vcard_DToL16704","Cytosol aminopeptidase family, catalytic domain","NPEPL1","Peptidase_M17"
"1900","Vcard_DToL17797","Galectin","GALE5","Gal-bind_lectin"
"1903","Vcard_DToL17796","Domain of unknown function (DUF1977)","DNAJB12","DUF1977,DnaJ"
"1939","Vcard_DToL17843","NEUZ","NEURL1B","Neuralized,zf-C3HC4_3"
"2101","Vcard_DToL18084","Domain of Kin17 curved DNA-binding protein","KIN","Kin17_mid"
"2108","Vcard_DToL18089","It is involved in the biological process described with protein phosphorylation","SLK","PKK,Pkinase"
"2568","Vcard_DToL03123","Peptidase family M50","MBTPS2","Peptidase_M50"
"2569","Vcard_DToL03126","tRNA synthetases class I (C) catalytic domain","CARS2","DALR_2,tRNA-synt_1e"
"2593","Vcard_DToL03154","Spondin_N","SPON2","Spond_N,TSP_1"
"2625","Vcard_DToL03193","-","-","-"
"2629","Vcard_DToL03197","Sodium:neurotransmitter symporter family","-","SNF"
"2640","Vcard_DToL03213","Peptidase family M48","ZMPSTE24","Peptidase_M48,Peptidase_M48_N"
"2693","Vcard_DToL03273","calmodulin","-","EF-hand_1,EF-hand_5"
"2694","Vcard_DToL03271","Calmodulin","Cam","EF-hand_1,EF-hand_5"
"2768","Vcard_DToL15958","Protein kinase domain","-","Pkinase"
"2777","Vcard_DToL15971","TRC8 N-terminal domain","RNF139","TRC8_N,zf-C3HC4_2,zf-RING_2"
"2914","Vcard_DToL16127","Leucine Rich Repeat","-","Ig_3,LRR_8"
"3076","Vcard_DToL08353","BCL7, N-terminal conserver region","BCL7A","BCL_N"
"3091","Vcard_DToL08363","LRRFIP family","LRRFIP2","LRRFIP"
"3124","Vcard_DToL08411","Tetraspanin family","-","Tetraspannin"
"3152","Vcard_DToL08446","Rad51","RAD51D","Rad51"
"3188","Vcard_DToL08491","Myb/SANT-like DNA-binding domain","-","Myb_DNA-bind_4"
"3222","Vcard_DToL08533","Mediates sugar transport across membranes","swt-4","MtN3_slv"
"3276","Vcard_DToL08588","Domain present in PSD-95, Dlg, and ZO-1/2.","SDCBP","PDZ"
"3295","Vcard_DToL08623","Replication protein A interacting C-terminal","-","RPA_interact_C,RPA_interact_M,RPA_interact_N"
"3312","Vcard_DToL08649","Amidohydrolase family","-","Amidohydro_1"
"3320","Vcard_DToL08658","Carboxypeptidase activation peptide","-","Peptidase_M14,Propep_M14,ShK"
"3329","Vcard_DToL08673","aminoacyl tRNA synthase complex-interacting multifunctional protein","AIMP2","AIMP2_LysRS_bd,GST_C,GST_C_2,GST_C_3"
