"GeneID" "Function" "GeneName" "Func_Categ"
"108" "Vcard_DToL04146" "Rho (Ras homology) subfamily of Ras-like small GTPases" "RAC2" "Ras"
"280" "Vcard_DToL04350" "Kinase-like" "Mkk4" "Pkinase"
"316" "Vcard_DToL04392" "Src homology 2 domains" "sem-5" "SH2,SH3_1"
"467" "Vcard_DToL04608" "Kinase-like" "MAP2K3" "Pkinase"
"515" "Vcard_DToL04668" "RHO protein GDP dissociation inhibitor" "ARHGDIA" "Rho_GDI"
"525" "Vcard_DToL04680" "GTPase activity" "-" "-"
"607" "Vcard_DToL07688" "epidermal cell division" "-" "P53"
"631" "Vcard_DToL07712" "14-3-3 homologues" "YWHAE" "14-3-3"
"752" "Vcard_DToL07881" "Phenylalanine zipper" "SH2B2" "PH,Phe_ZIP,SH2"
"1036" "Vcard_DToL08228" "EF-hand domain" "-" "EF-hand_1,EF-hand_5,EF-hand_6,EF-hand_7"
"1085" "Vcard_DToL10861" "EF-hand domain" "-" "EF-hand_1,EF-hand_5,EF-hand_7"
"1260" "Vcard_DToL11078" "It is involved in the biological process described with protein phosphorylation" "GSK3B" "Pkinase"
"1267" "Vcard_DToL11098" "Zinc finger C-x8-C-x5-C-x3-H type (and similar)" "ZFP36L2" "Tis11B_N,zf-CCCH"
"1406" "Vcard_DToL11263" "Protein tyrosine kinase" "IKBKB" "IKKbetaNEMObind,Pkinase"
"1560" "Vcard_DToL16365" "Caspase domain" "CASP7" "Peptidase_C14"
"2641" "Vcard_DToL03215" "Protein tyrosine kinase" "RPS6KA2" "Pkinase,Pkinase_C"
"2642" "Vcard_DToL03216" "Protein tyrosine kinase" "RPS6KA2" "Pkinase,Pkinase_C"
"2693" "Vcard_DToL03273" "calmodulin" "-" "EF-hand_1,EF-hand_5"
"2694" "Vcard_DToL03271" "Calmodulin" "Cam" "EF-hand_1,EF-hand_5"
"2845" "Vcard_DToL16047" "Protein tyrosine kinase" "IRAK1" "Death,Pkinase,Pkinase_Tyr"
"3141" "Vcard_DToL08434" "Belongs to the PI3 PI4-kinase family" "PIK3CB" "PI3K_C2,PI3K_p85B,PI3K_rbd,PI3Ka,PI3_PI4_kinase"
"3142" "Vcard_DToL08435" "Belongs to the PI3 PI4-kinase family" "PIK3CB" "PI3K_C2,PI3K_p85B,PI3K_rbd,PI3Ka,PI3_PI4_kinase"
"3190" "Vcard_DToL08494" "E2F transcription factor CC-MB domain" "E2F4" "E2F_CC-MB,E2F_TDP"
"3197" "Vcard_DToL08500" "Armadillo/beta-catenin-like repeat" "CTNNB1" "Arm"
"3229" "Vcard_DToL08538" "Caspase, interleukin-1 beta converting enzyme (ICE) homologues" "CASP7" "Peptidase_C14"
"3293" "Vcard_DToL08622" "protein serine threonine kinase activity. It is involved in the biological process described with protein phosphorylation" "RPS6KB2" "Pkinase,Pkinase_C"
"3338" "Vcard_DToL08675" "pKID domain" "CREB1" "bZIP_1,pKID"
"3370" "Vcard_DToL08720" "Protein phosphatase 2A homologues, catalytic domain." "-" "Metallophos"
"3412" "Vcard_DToL08774" "KAP family P-loop domain" "KIDINS220" "Ank,Ank_2,Ank_4,Ank_5,KAP_NTPase"
"3413" "Vcard_DToL08778" "KAP family P-loop domain" "KIDINS220" "Ank,Ank_2,Ank_4,Ank_5,KAP_NTPase"
"3539" "Vcard_DToL08929" "Protein tyrosine kinase" "rl" "Pkinase"
"3540" "Vcard_DToL08930" "Protein tyrosine kinase" "rl" "Pkinase"
"3622" "Vcard_DToL09043" "TRAF-type zinc finger" "TRAF4" "MATH,zf-C3HC4,zf-C3HC4_2,zf-TRAF"
"3623" "Vcard_DToL09044" "TRAF-type zinc finger" "TRAF4" "MATH,zf-C3HC4,zf-C3HC4_2,zf-TRAF"
"3666" "Vcard_DToL17435" "Phosphotransferase enzyme family" "CDK6" "Pkinase"
"3695" "Vcard_DToL17480" "Domain A in dwarfin family proteins" "SMAD2" "MH1,MH2"
"3939" "Vcard_DToL16808" "WD domain, G-beta repeat" "GNB4" "WD40"
"3940" "Vcard_DToL16809" "WD domain, G-beta repeat" "GNB4" "WD40"
"4097" "Vcard_DToL17006" "Inositol 1,4,5-trisphosphate/ryanodine receptor" "ITPR1" "Ins145_P3_rec,Ion_trans,MIR,RIH_assoc,RYDR_ITPR"
"4098" "Vcard_DToL17008" "RIH domain" "-" "Ins145_P3_rec,Ion_trans,MIR,RIH_assoc,RYDR_ITPR"
"4099" "Vcard_DToL17010" "Inositol 1,4,5-trisphosphate/ryanodine receptor" "ITPR1" "Ins145_P3_rec,Ion_trans,MIR,RIH_assoc,RYDR_ITPR"
"4100" "Vcard_DToL17011" "Inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity. It is involved in the biological process described with calcium ion transmembrane transport" "ITPR1" "Ins145_P3_rec,Ion_trans,MIR,RIH_assoc,RYDR_ITPR"
"4101" "Vcard_DToL17012" "Inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity. It is involved in the biological process described with calcium ion transmembrane transport" "ITPR1" "Ins145_P3_rec,Ion_trans,MIR,RIH_assoc,RYDR_ITPR"
"4131" "Vcard_DToL17053" "Src homology 2 domains" "CRKL" "SH2,SH3_1,SH3_2"
