"Query" "KEGG.KO"
"1" "Vcard_DToL04146" "ko04722"
"2" "Vcard_DToL04146" "ko05167"
"3" "Vcard_DToL04146" "ko05212"
"4" "Vcard_DToL04146" "map04722"
"5" "Vcard_DToL04146" "map05167"
"6" "Vcard_DToL04146" "map05212"
"7" "Vcard_DToL04350" "ko05167"
"8" "Vcard_DToL04350" "map05167"
"9" "Vcard_DToL04392" "ko04722"
"10" "Vcard_DToL04392" "map04722"
"11" "Vcard_DToL04608" "ko05167"
"12" "Vcard_DToL04608" "map05167"
"13" "Vcard_DToL04668" "ko04722"
"14" "Vcard_DToL04668" "map04722"
"15" "Vcard_DToL04680" "ko05167"
"16" "Vcard_DToL04680" "map05167"
"17" "Vcard_DToL07688" "ko04722"
"18" "Vcard_DToL07688" "ko05167"
"19" "Vcard_DToL07688" "ko05212"
"20" "Vcard_DToL07688" "map04722"
"21" "Vcard_DToL07688" "map05167"
"22" "Vcard_DToL07688" "map05212"
"23" "Vcard_DToL07712" "ko04722"
"24" "Vcard_DToL07712" "map04722"
"25" "Vcard_DToL07881" "ko04722"
"26" "Vcard_DToL07881" "map04722"
"27" "Vcard_DToL08228" "ko04722"
"28" "Vcard_DToL08228" "ko05167"
"29" "Vcard_DToL08228" "map04722"
"30" "Vcard_DToL08228" "map05167"
"31" "Vcard_DToL10861" "ko05167"
"32" "Vcard_DToL10861" "map05167"
"33" "Vcard_DToL11078" "ko04722"
"34" "Vcard_DToL11078" "ko05167"
"35" "Vcard_DToL11078" "map04722"
"36" "Vcard_DToL11078" "map05167"
"37" "Vcard_DToL11098" "ko05167"
"38" "Vcard_DToL11098" "map05167"
"39" "Vcard_DToL11263" "ko04722"
"40" "Vcard_DToL11263" "ko05167"
"41" "Vcard_DToL11263" "ko05212"
"42" "Vcard_DToL11263" "map04722"
"43" "Vcard_DToL11263" "map05167"
"44" "Vcard_DToL11263" "map05212"
"45" "Vcard_DToL16365" "ko05167"
"46" "Vcard_DToL16365" "map05167"
"47" "Vcard_DToL03215" "ko04722"
"48" "Vcard_DToL03215" "map04722"
"49" "Vcard_DToL03216" "ko04722"
"50" "Vcard_DToL03216" "map04722"
